,SILVER-23-12-06-C,VAR-22-11-01-C
2024-02-25 00:00:00+00:00,18.7005,29.7276
2024-02-24 00:00:00+00:00,18.48,29.7276
2024-02-23 00:00:00+00:00,18.228,29.7276
2024-02-22 00:00:00+00:00,17.6925,29.7276
2024-02-21 00:00:00+00:00,17.6505,29.7276
2024-02-20 00:00:00+00:00,18.1965,29.7276
2024-02-19 00:00:00+00:00,18.2175,29.7276
2024-02-18 00:00:00+00:00,18.1335,29.7276
2024-02-17 00:00:00+00:00,18.5745,29.7276
2024-02-16 00:00:00+00:00,18.69,29.7276
2024-02-15 00:00:00+00:00,18.7635,29.7276
2024-02-14 00:00:00+00:00,19.131,29.7276
2024-02-13 00:00:00+00:00,19.1205,29.7276
2024-02-12 00:00:00+00:00,19.152,29.7276
2024-02-11 00:00:00+00:00,19.698,29.7276
2024-02-10 00:00:00+00:00,19.656,29.7276
2024-02-09 00:00:00+00:00,18.585,29.7276
2024-02-08 00:00:00+00:00,19.7715,29.7276
2024-02-07 00:00:00+00:00,20.454,29.7276
2024-02-06 00:00:00+00:00,18.0705,29.7276
2024-02-05 00:00:00+00:00,17.4615,29.7276
2024-02-04 00:00:00+00:00,14.784,29.7276
2024-02-03 00:00:00+00:00,16.4745,29.7276
2024-02-02 00:00:00+00:00,18.354,29.7276
2024-02-01 00:00:00+00:00,19.1205,29.7276
2024-01-31 00:00:00+00:00,19.0155,29.7276
2024-01-30 00:00:00+00:00,19.7505,29.7276
2024-01-29 00:00:00+00:00,19.95,29.7276
2024-01-28 00:00:00+00:00,17.64,29.7276
2024-01-27 00:00:00+00:00,18.7005,29.7276
2024-01-26 00:00:00+00:00,18.5535,29.7276
2024-01-25 00:00:00+00:00,19.509,29.7276
2024-01-24 00:00:00+00:00,17.283,29.7276
2024-01-23 00:00:00+00:00,18.4485,29.7276
2024-01-22 00:00:00+00:00,17.9235,29.7276
2024-01-21 00:00:00+00:00,18.438,29.7276
2024-01-20 00:00:00+00:00,19.362,29.7276
2024-01-19 00:00:00+00:00,19.8135,29.7276
2024-01-18 00:00:00+00:00,20.391,29.7276
2024-01-17 00:00:00+00:00,21.945,29.7276
2024-01-16 00:00:00+00:00,21.5565,29.7276
2024-01-15 00:00:00+00:00,20.8005,29.7276
2024-01-14 00:00:00+00:00,20.37,29.7276
2024-01-13 00:00:00+00:00,20.6745,29.7276
2024-01-12 00:00:00+00:00,22.0395,29.7276
2024-01-11 00:00:00+00:00,22.3335,29.7276
2024-01-10 00:00:00+00:00,22.617,29.7276
2024-01-09 00:00:00+00:00,22.2915,29.7276
2024-01-08 00:00:00+00:00,22.1655,29.7276
2024-01-07 00:00:00+00:00,21.4305,29.7276
2024-01-06 00:00:00+00:00,21.357,29.7276
2024-01-05 00:00:00+00:00,21.441,29.7276
2024-01-04 00:00:00+00:00,21.042,29.7276
2024-01-03 00:00:00+00:00,19.929,29.7276
2024-01-02 00:00:00+00:00,17.64,29.7276
2024-01-01 00:00:00+00:00,16.4955,29.7276
2023-12-31 00:00:00+00:00,18.6165,28.428225
2023-12-30 00:00:00+00:00,19.1625,28.428225
2023-12-29 00:00:00+00:00,16.002,28.428225
2023-12-28 00:00:00+00:00,15.225,28.428225
2023-12-27 00:00:00+00:00,18.333,28.428225
2023-12-26 00:00:00+00:00,17.3985,28.428225
2023-12-25 00:00:00+00:00,14.2905,28.428225
2023-12-24 00:00:00+00:00,11.7075,28.428225
2023-12-23 00:00:00+00:00,14.343,28.428225
2023-12-22 00:00:00+00:00,15.6975,28.428225
2023-12-21 00:00:00+00:00,16.4115,28.428225
2023-12-20 00:00:00+00:00,18.249,28.428225
2023-12-19 00:00:00+00:00,19.467,28.428225
2023-12-18 00:00:00+00:00,19.6035,28.428225
2023-12-17 00:00:00+00:00,16.905,28.428225
2023-12-16 00:00:00+00:00,18.9945,28.428225
2023-12-15 00:00:00+00:00,20.79,28.428225
2023-12-14 00:00:00+00:00,21.4515,28.428225
2023-12-13 00:00:00+00:00,21.2835,28.428225
2023-12-12 00:00:00+00:00,21.546,28.428225
2023-12-11 00:00:00+00:00,21.609,28.428225
2023-12-10 00:00:00+00:00,19.4985,28.428225
2023-12-09 00:00:00+00:00,20.9265,28.428225
2023-12-08 00:00:00+00:00,22.1235,28.428225
2023-12-07 00:00:00+00:00,22.071,28.428225
2023-12-06 00:00:00+00:00,24.948,28.428225
2023-12-05 00:00:00+00:00,23.7615,28.428225
2023-12-04 00:00:00+00:00,23.646,28.428225
2023-12-03 00:00:00+00:00,23.604,28.428225
2023-12-02 00:00:00+00:00,24.906,28.428225
2023-12-01 00:00:00+00:00,28.77,28.428225
2023-11-30 00:00:00+00:00,28.8855,28.428225
2023-11-29 00:00:00+00:00,26.6595,28.428225
